id,position,name,first_name,last_name,twitter_username,twitter_followers,age,nationality,height,weight,minutes,goals,assists,saves,rating,team_name,goals_minutes_coeff,saves_minutes_coeff,assists_minutes_coeff,rating_minutes_coeff,titles
648,Midfielder,Raúl Guti,José Raúl,Gutiérrez Parejo,None,,25.0,Spain,177.0,74.0,2256,2,0,0,6.64643,Elche,0.0008865248226950354,0.0,0.0,0.002946112588652482,0.0
363,Defender,Balenziaga,Mikel,Balenziaga Oruesagasti,None,,33.0,Spain,177.0,76.0,878,0,1,0,6.64615,Athletic Club,0.0,0.0,0.0011389521640091116,0.007569646924829157,2.0
725,Attacker,Sergi Enrich,Sergio,Enrich Ametller,None,,31.0,Spain,181.0,77.0,901,2,0,0,6.645,Eibar,0.0022197558268590455,0.0,0.0,0.007375138734739178,0.0
365,Defender,De Marcos,Óscar,de Marcos Arana,None,,32.0,Spain,182.0,77.0,991,1,2,0,6.64444,Athletic Club,0.0010090817356205853,0.0,0.0020181634712411706,0.006704783047426842,3.0
713,Midfielder,P. Diop,Papa Kouly,Diop,None,,35.0,Senegal,180.0,77.0,1835,1,1,0,6.644,Eibar,0.0005449591280653951,0.0,0.0005449591280653951,0.003620708446866485,1.0
653,Attacker,Pere Milla,Pere,Milla Peña,None,,29.0,Spain,184.0,72.0,1403,3,1,0,6.64348,Elche,0.0021382751247327157,0.0,0.0007127583749109052,0.004735196008553101,0.0
622,Attacker,Jota,João Pedro,Neves Filipe,None,,22.0,Portugal,175.0,60.0,464,1,0,0,6.64167,Valladolid,0.0021551724137931034,0.0,0.0,0.014313943965517242,6.0
715,Midfielder,Recio,José Luis,García del Pozo,None,,30.0,Spain,183.0,74.0,377,0,0,0,6.64,Eibar,0.0,0.0,0.0,0.017612732095490715,0.0
252,Attacker,Aitor Ruibal,Aitor,Ruibal García,None,,25.0,Spain,176.0,74.0,1191,1,1,0,6.64,Real Betis,0.0008396305625524769,0.0,0.0008396305625524769,0.005575146935348447,0.0
422,Goalkeeper,J. Ledesma,Jeremías,Ledesma,None,,28.0,Argentina,186.0,70.0,2340,0,0,64,6.63846,Cadiz,0.0,0.02735042735042735,0.0,0.002836948717948718,2.0
591,Midfielder,Mikel Rico,Mikel,Rico Moreno,None,,37.0,Spain,179.0,75.0,1735,1,2,0,6.6375,Huesca,0.0005763688760806917,0.0,0.0011527377521613833,0.0038256484149855907,2.0
614,Defender,Raúl García,Raúl,García Carnero,None,,32.0,Spain,180.0,74.0,502,1,0,0,6.6375,Valladolid,0.00199203187250996,0.0,0.0,0.013222111553784862,2.0
641,Attacker,L. Boyé,Lucas Ariel,Boyé,None,,25.0,Argentina,179.0,81.0,1927,5,1,0,6.636,Elche,0.002594706798131811,0.0,0.0005189413596263622,0.00344369486248054,6.0
356,Midfielder,J. Holsgrove,Jordan,Holsgrove,None,,22.0,Scotland,,,107,0,0,0,6.63333,Celta Vigo,0.0,0.0,0.0,0.06199373831775701,0.0
722,Attacker,Y. Muto,Yoshinori,Muto,None,,29.0,Japan,179.0,72.0,1044,1,1,0,6.63182,Eibar,0.0009578544061302681,0.0,0.0009578544061302681,0.006352318007662836,2.0
323,Defender,J. Aidoo,Joseph,Aidoo,None,,26.0,Ghana,180.0,80.0,944,0,0,0,6.63125,Celta Vigo,0.0,0.0,0.0,0.0070246292372881354,1.0
593,Goalkeeper,Roberto Jiménez,Roberto,Jiménez Gago,None,,35.0,Spain,192.0,94.0,900,0,0,24,6.63,Valladolid,0.0,0.02666666666666667,0.0,0.007366666666666666,6.0
265,Defender,Jaume Costa,Jaume Vicent,Costa Jordá,None,,33.0,Spain,171.0,62.0,289,0,1,0,6.63,Villarreal,0.0,0.0,0.0034602076124567475,0.022941176470588236,0.0
613,Midfielder,Toni Villa,Laureano Antonio,Villa Suárez,None,,26.0,Spain,172.0,63.0,730,2,0,0,6.62941,Valladolid,0.0027397260273972603,0.0,0.0,0.009081383561643836,1.0
337,Defender,José Fontán,José Manuel,Fontán Mondragón,None,,21.0,Spain,,,370,0,0,0,6.625,Celta Vigo,0.0,0.0,0.0,0.017905405405405406,0.0
352,Attacker,F. Ferreyra,Facundo,Ferreyra,None,,30.0,Argentina,183.0,79.0,150,1,0,0,6.625,Celta Vigo,0.006666666666666667,0.0,0.0,0.04416666666666667,13.0
373,Midfielder,Mikel Vesga,Mikel,Vesga Arruti,None,,28.0,Spain,191.0,83.0,1197,0,1,0,6.62381,Athletic Club,0.0,0.0,0.000835421888053467,0.005533675856307435,1.0
386,Defender,Víctor Díaz,Víctor David,Díaz Miguel,None,,33.0,Spain,184.0,71.0,514,0,2,0,6.62222,Granada CF,0.0,0.0,0.0038910505836575876,0.012883696498054476,0.0
387,Defender,Quini,Joaquín José,Marín Ruiz,None,,32.0,Spain,178.0,74.0,511,0,0,0,6.62,Granada CF,0.0,0.0,0.0,0.012954990215264188,0.0
476,Defender,E. Mangala,Eliaquim,Mangala,None,,30.0,France,188.0,84.0,314,0,0,0,6.62,Valencia,0.0,0.0,0.0,0.0210828025477707,9.0
